function_sql,description,detail_description
CONCAT,склейка полей,"Операцию объединения или склеивания нескольких значений часто называют конкатенацией. Например, конкатенацией строк bee и geek является строка beegeek.В SQL для объединения нескольких значений используется функция CONCAT(). Она принимает переменное количество аргументов, выполняет их конкатенацию и возвращает полученный результат. Результатом функции CONCAT() всегда является строка, однако аргументы функции могут принадлежать любым типам, поскольку функция неявно преобразует все аргументы в строки перед объединением."
CONCAT_WS,склейка полей,"Для конкатенации значений в SQL существует дополнительная функция — CONCAT_WS(). В отличие от функции CONCAT(), она не только объединяет значения, но и добавляет между ними разделитель. Разделитель указывается в качестве первого аргумента, объединяемые значения — в качестве всех остальных."
CHAR_LENGTH,вычисление колличества символов,Функция CHAR_LENGTH() используется для вычисления длины строки. Она принимает в качестве аргумента строку и возвращает количество символов в ней.
UPPER,перевод строки в верхний регистр,"Функция UPPER() используется для перевода строки в верхний регистр. Она принимает в качестве аргумента строку, преобразует все ее символы в верхний регистр и возвращает полученный результат."
LOWER,перевод строки в нижний регистр,"Функция LOWER() используется для перевода строки в нижний регистр. Она принимает в качестве аргумента строку, преобразует все ее символы в нижний регистр и возвращает полученный результат."
LTRIM,отсечение левых пробелов,"Функция LTRIM() используется для отсечения ведущих пробелов. Она принимает в качестве аргумента строку, удаляет все пробелы из ее левой части и возвращает полученный результат."
RTRIM,отсечение правых пробелов,"Похожим образом работает функция RTRIM() за исключением того, что она удаляет пробелы из правой части строки, а не левой."
REVERSE,переворот строки (справа налево),Функция REVERSE() используется для переворота строки. Она принимает в качестве аргумента строку и возвращает ее с обратным порядком символов.
REPEAT,повтор строки,Функция REPEAT() используется для повторения строки. 
LPAD,увеличение строки (СЛЕВА),"Функция LPAD() используется для увеличения длины строки до определенного значения путем добавления в ее начало другой строки. Она принимает три аргумента  Если желаемая длина строки меньше длины исходной строки, то функция LPAD() сокращает исходную строку путем отбрасывания правых символов."
RPAD,увеличение строки (СПРАВА),"Похожим образом себя ведет функция RPAD() за исключением того, что она дополняет строку не слева, а справа."
LEFT,извлечение символов слева,Функция LEFT() используется для извлечения определенного количества символов из начала строки. Она принимает два аргумента
RIGHT,извлечение символов справа,"Функция RIGHT() используется для извлечения определенного количества символов из конца строки. Она принимает два аргумента Аналогично функции LEFT(), если количество извлекаемых символов меньше 1, функция RIGHT() вернет пустую строку, если больше длины строки — всю строку."
LOCATE,местополож.искомого символа,Функция LOCATE() используется для определения местоположения подстроки в строке. Она принимает три аргумента
REPLACE,замена подстроки в строке,"Функция REPLACE() используется для замены подстроки в строке. Она принимает три аргумента В отличие от функции LOCATE(), функция REPLACE() выполняет замену с учетом регистра."
SUBSTRING,извлечение подстроки,Функция SUBSTRING() используется для извлечения подстроки из строки. Она принимает три аргумента
SUBSTRING_INDEX,извлечение подстроки с помощью…,"Функция SUBSTRING_INDEX() используется для извлечения подстроки из строки с помощью разделителя. Она принимает три аргумента. Количество появлений разделителя может быть отрицательным числом, в таком случае извлечение подстроки происходит с конца."
TRIM,удаление подстроки,"Функция TRIM() используется для удаления всех вхождений подстроки из начала и/или конца строки. Синтаксис данной функции несколько отличается от предыдущих, так как при ее вызове аргументы не указываются через запятую, а связываются с помощью ключевого слова FROM: TRIM(<ключевое слово LEADING, TRAILING или BOTH> <удаляемая подстрока> FROM <исходная строка>)"
DIV ,целочисленное деление,Оператор DIV используется для целочисленного деления одного числа на другое.
MOD ,вычисление остатка,Оператор MOD используется для вычисления остатка от деления одного числа на другое.
ABS,вычисление модуля,Функция ABS() используется для вычисления модуля числа. Она принимает в качестве аргумента число и возвращает его модуль.
ROUND,округление,Функция ROUND() используется для округления числа. Она принимает два аргумента 
POW,возведение в степень,Функция POW() используется для возведения числа в определенную степень. Она принимает два аргумента 
SQRT,квадратный корень,"Функция SQRT() используется для вычисления квадратного корня. Она принимает в качестве аргумента число, извлекает из него квадратный корень "
RAND,генерация случайных чисел,"Функция RAND() используется для генерации случайных чисел. При вызове без аргументов она возвращает случайное число с плавающей точкой в диапазоне [0, 1). Функция RAND() в комбинации с операторами ORDER BY и LIMIT позволяет извлекать из таблицы определенное количество случайных записей."
FLOOR,округление в меньшую сторону,
CEILING,округление в большую сторону,
DEGREES,из радиан в градусы,"Функция DEGREES() используется для перевода значения из радиан в градусы. Она принимает в качестве аргумента значение в радианах, конвертирует его в градусы и возвращает полученный результат."
RADIANS,из градусов в радианы,"Похожим образом себя ведет функция RADIANS() за тем исключением, что она выполняет обратный перевод — из градусов в радианы."
PI,получение числа Пи,Функция PI() используется для получения числа пи (ππ). Она не принимает никаких аргументов и возвращает число пи с точностью до шести знаков после запятой.
"SIN(), COS() , TAN()","синус, косинус, тангенс","Функции SIN(), COS() и TAN() используются для вычисления синуса, косинуса и тангенса соответственно. Каждая функция принимает в качестве аргумента значение в радианах и возвращает соответствующую тригонометрическую величину."
LEAST,поиск минимального значения,Функция LEAST() используется для поиска минимального значения. Она принимает переменное количество аргументов (не меньше двух) и возвращает наименьший из них.
GREATEST,поиск максимального значения,"Похожим образом себя ведет функция GREATEST() за тем исключением, что она выполняет поиск наибольшего значения, а не наименьшего."
CONV,изменение системы счисления,Функция CONV() используется для перевода числа из одной системы счисления в другую. Она принимает три аргумента
FORMAT,округление и форматирование,Функция FORMAT() используется для округления и форматирования числа. Она принимает два аргумента
