function_type,function_mysql,description,returns,argument_func_mysql,detailed_description,replacing,examples_mysql,
т,"CONCAT(artist, ' - ', trackname)",объединяет значения,т,значения или поля через запятую,"Принимает переменное количество аргументов, выполняет их конкатенацию и возвращает полученный результат. Результатом функции всегда является т, однако аргументы функции могут принадлежать любым типам, поскольку функция неявно преобразует все аргументы в строки перед объединением.",,"SELECT CONCAT(artist, ' - ', trackname)",
т,"CONCAT_WS(', ', id, artist, trackname)",объединяет значения через разделитель,т,"'разделитель', знач1, ..., значn","Объединяет значения и добавляет между ними разделитель. Разделитель указывается в качестве первого аргумента, объединяемые значения — в качестве всех остальных. Перед объединением неявно преобразует все аргументы в строки",,"SELECT CONCAT_WS(', ', id, artist, trackname)",
т,CHAR_LENGTH('bee'),длина строки,ч,строка,принимает в качестве аргумента строку и возвращает количество символов в ней.  При вызове с аргументом NULL возвращают значение NULL.,,SELECT CHAR_LENGTH('beegeek'),
т,LOWER('BeeGeek'),перевод в нижний регистр,т,строка,используется для перевода строки в нижний регистр. При вызове с аргументом NULL возвращают значение NULL.,,SELECT LOWER('beegeek'),
т,UPPER('BeeGeek'),перевод в верхний регистр,т,строка,используется для перевода строки в верхний регистр. При вызове с аргументом NULL возвращают значение NULL.,,SELECT  LOWER('BEEGEEK'),
т,LTRIM('   bee'),,убирает пробелы слева,т,строка,убирает пробелы слева. При вызове с аргументом NULL возвращают значение NULL.,,SELECT LTRIM(' bee')
т,RTRIM(' bee    '),убирает пробелы справа,т,строка,убирает пробелы справа. При вызове с аргументом NULL возвращают значение NULL.,,,
т,REVERSE('eeb'),переворачивает строку,т,строка,переворачивает строку (можно с чвыми). При вызове с аргументом NULL возвращают значение NULL.,,,
т,"REPEAT('bee', 2)",повторяет,т,"строка, сколько раз повторить","повторяет строку (можно с чвыми)ю Если количество повторов меньше 1, то функция REPEAT() вернет пустую строку.  При вызове с аргументом NULL возвращают значение NULL.",,,
т,"LPAD('bee', 5, '-')",добавить слева,т,"исх_т, желаемая_длина_строки, чем_дополнить","используется для увеличения длины строки до определенного значения путем добавления в ее начало другой строки (можно с чвыми). Если длина исходной строки после добавления в ее начало дополняющей строки превышает желаемую длину, то функция LPAD() сокращает дополняющую строку путем отбрасывания правых символов. При вызове с аргументом NULL возвращают значение NULL.",CONCAT(),,
т,"RPAD('bee', 5, '-')    ",добавить справа,т,"исх_т, желаемая_длина_строки, чем_дополнить","используется для увеличения длины строки до определенного значения путем добавления другой строки справа(можно с чвыми). Если длина исходной строки после добавления справа дополняющей строки превышает желаемую длину, то функция LPAD() сокращает дополняющую строку путем отбрасывания правых символов. При вызове с аргументом NULL возвращают значение NULL.",CONCAT(),"SELECT RPAD('bee', 7, '-+')",
т,"LEFT('bee', 1)  =b",извлеч из начала строки,т,"исх_т, кол-во извлекаемых символов","извлечения определенного количества символов из начала строки. Если количество извлекаемых символов меньше 1, функция LEFT() вернет пустую строку.  ",SUBSTRING(),,
т,"RIGHT('bee', 1)  =e",извлеч из конца строки,т,"исх_т, кол-во извлекаемых символов","извлечения определенного количества символов из конца строки. Если количество извлекаемых символов меньше 1, функция вернет пустую строку.  ",SUBSTRING(),,
т,"LOCATE('e', 'beegeek', 2)  *2-начало поиска, необ",местоположения подстроки в строке,ч,"искомая_подтб, исходная_т, позиция_начала_поиска","определения местоположения подстроки в строке. Позиция начала поиска (может не указываться, в таком случае поиск выполняется с начала строки) . Если искомой подстроки в строке нет, функция LOCATE() вернет значение 0. выполняет поиск позиции подстроки без учета регистра.  символы исходной строки нумеруются с 1, а не с 0.  ","LEFT(), RIGHT(), FIELD","SELECT LOCATE('e', 'beegeek'),        LOCATE('g', 'beegeek'),        LOCATE('eg', 'beegeek'),",
т,"REPLACE('beegeek', 'e', 'i')",замена подстроки в строке,т,"исходная_т, заменяемая_подт, заменяющая_подт","замены подстроки в строке. Если заменяемой подстроки в строке нет, функция REPLACE() вернет строку в исходном виде. выполняет замену с учетом регистра.  ",TRIM(),"SELECT REPLACE('beegeek', 'e', 'i')",
т,"SUBSTRING('beegeek', 4, 2) *4-начало извл, 2-длина фрагмента, необ","извлечения подстроки из строки. Если в аргументах будет только 1 цифра, будет взят отрезок с этого символи и до конца",т,"исходная_строка, позиция_первого_извлекаемого_символа, длина_извлекаемой_ подстроки","извлечения подстроки из строки. длина извлекаемой подстроки (может не указываться, в таком случае подт извлекается до конца) . символы исходной строки нумеруются с 1, а не с 0. Позиция первого извлекаемого символа может быть отрицательным чм, в таком случае символы нумеруются с конца. Последнему символу соответствует позиция -1, предпоследнему — -2, и так далее.  ",,"SELECT SUBSTRING('beegeek', 1),        SUBSTRING('beegeek', -4),        SUBSTRING('beegeek', 4, 2)",
т,"SUBSTRING_INDEX('g-e-e-k', '-', 1) =g ",извлечения подстроки с помощью разделителя,т,"исходная_т, разделитель, количество_появлений_ разделителя","извлечения подстроки из строки с помощью разделителя. Количество появлений разделителя может быть отрицательным чм, в таком случае извлечение подстроки происходит с конца.",,"SELECT SUBSTRING_INDEX('g-e-e-k', '-', 1)     ----    g ,        SUBSTRING_INDEX('g-e-e-k', '-', 2)     -----   g-e ,",
